epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.25694,5.68619,9.52824,4.27427,0,0,0,0,4.9763,5.82765,4.16042,3.333e-05,3.333e-05,3.333e-05
2,9.12128,5.37418,6.25707,4.37567,0,0,0,0,4.97534,5.82531,4.16086,7.62302e-05,7.62302e-05,7.62302e-05
3,12.7074,5.60996,7.96515,4.30317,0,0,0,0,4.9762,5.82784,4.16227,0.00011737,0.00011737,0.00011737
4,15.138,3.4977,10.1917,3.26256,0,0,0,0,4.9755,5.83099,4.1632,0.000156751,0.000156751,0.000156751
5,18.0759,4.83732,6.76611,4.23762,0,0,0,0,4.97459,5.8329,4.16492,0.000194372,0.000194372,0.000194372
6,21.115,4.96301,5.80865,4.21897,0,0,0,0,4.97525,5.83578,4.16698,0.000230233,0.000230233,0.000230233
7,25.0655,3.48965,10.1457,3.15471,0,0,0,0,4.97891,5.80664,4.16874,0.000264334,0.000264334,0.000264334
8,28.6084,5.08231,6.49875,4.13837,0,0,0,0,4.9789,5.80485,4.17069,0.000296675,0.000296675,0.000296675
9,31.4333,5.24797,7.78193,4.13054,0,0,0,0,4.98041,5.82008,4.17449,0.000327256,0.000327256,0.000327256
10,34.4149,4.65239,5.86998,4.12545,0,0,0,0,4.986,5.80234,4.17891,0.000356078,0.000356078,0.000356078
11,37.8801,4.80826,6.39968,4.15118,0,0,0,0,4.98913,5.78704,4.184,0.000383139,0.000383139,0.000383139
12,42.0278,4.51797,5.75828,4.1395,0,0,0,0,4.99629,5.77834,4.19102,0.000408441,0.000408441,0.000408441
13,44.9076,4.48564,5.48978,4.00576,0,0,0,0,5.00102,5.80204,4.19866,0.000431983,0.000431983,0.000431983
14,47.9094,4.52606,5.46149,3.94135,0,0,0,0,5.00332,5.80973,4.20477,0.000453766,0.000453766,0.000453766
15,51.0417,4.46642,4.59015,3.89661,0,0,0,0,5.02193,5.7079,4.21859,0.000473788,0.000473788,0.000473788
16,55.4685,4.41704,4.51562,3.8503,0,0,0,0,5.03456,5.72559,4.22889,0.000492051,0.000492051,0.000492051
17,58.4757,3.88571,4.89188,3.80781,0,0,0,0,5.04749,5.7391,4.24238,0.000508554,0.000508554,0.000508554
18,61.4479,4.1392,4.9019,3.70982,0,0,0,0,5.08205,5.80459,4.27126,0.000523297,0.000523297,0.000523297
19,64.4239,4.24227,4.36077,3.75262,0,0,0,0,5.09417,5.84087,4.2835,0.00053628,0.00053628,0.00053628
20,68.5233,4.32157,4.15588,3.66572,0,0,0,0,5.10331,5.90056,4.29365,0.000547503,0.000547503,0.000547503
21,72.1262,3.7836,4.591,3.58356,0,0,0,0,5.12255,5.66395,4.31447,0.000556967,0.000556967,0.000556967
22,75.0808,4.18374,4.74531,3.574,0,0,0,0,5.13477,5.72121,4.32619,0.00056467,0.00056467,0.00056467
23,78.0758,4.35046,8.77554,3.56017,0,0,0,0,5.14491,5.75466,4.338,0.000570614,0.000570614,0.000570614
24,81.9241,4.1865,10.9817,3.42151,0,0,0,0,5.1592,5.61846,4.35513,0.000574798,0.000574798,0.000574798
25,85.7428,4.10003,4.12023,3.45966,0,0,0,0,5.17896,5.60928,4.37373,0.000577222,0.000577222,0.000577222
26,88.5968,3.761,4.25297,3.47789,0,0,0,0,5.19501,5.60925,4.39131,0.000561055,0.000561055,0.000561055
27,91.7738,3.93702,4.44607,3.57591,0,0,0,0,5.21015,5.62633,4.40938,0.000539057,0.000539057,0.000539057
28,94.9149,3.80725,6.58645,3.34278,0,0,0,0,5.21211,5.62694,4.4182,0.000517059,0.000517059,0.000517059
29,99.4109,3.66127,4.37437,3.39162,0,0,0,0,5.20058,5.41747,4.41051,0.000495062,0.000495062,0.000495062
30,102.51,3.64331,4.13991,3.40131,0,0,0,0,5.17103,5.31061,4.38402,0.000473064,0.000473064,0.000473064
31,105.429,4.00601,4.11293,3.32254,0,0,0,0,5.12348,5.2194,4.34725,0.000451066,0.000451066,0.000451066
32,108.45,3.70587,3.97894,3.21454,0,0,0,0,5.07792,5.1761,4.30681,0.000429068,0.000429068,0.000429068
33,113.061,3.71286,3.8691,3.23268,0,0,0,0,5.04114,5.08524,4.2669,0.00040707,0.00040707,0.00040707
34,116.161,3.63785,3.58525,3.18926,5e-05,0.0026,0.00033,0.0001,5.00243,4.97946,4.20598,0.000385073,0.000385073,0.000385073
35,119.303,3.6048,3.84841,3.25645,0.00016,0.00779,0.00035,7e-05,4.92772,4.80305,4.12482,0.000363075,0.000363075,0.000363075
36,122.47,2.83819,8.97596,2.3538,0.00057,0.02909,0.00171,0.00025,4.71923,4.5528,3.97425,0.000341077,0.000341077,0.000341077
37,126.476,3.56238,3.59353,3.10066,0.00097,0.05273,0.00273,0.00054,4.4636,4.32639,3.84806,0.000319079,0.000319079,0.000319079
38,130.191,3.4687,3.7444,3.0698,0.0012,0.06857,0.004,0.00087,4.27746,4.17939,3.75976,0.000297081,0.000297081,0.000297081
39,133.278,3.78058,4.5708,3.17427,0.00128,0.07636,0.00623,0.00142,4.07604,4.01216,3.65979,0.000275084,0.000275084,0.000275084
40,136.226,3.47914,3.55503,3.05152,0.00129,0.08156,0.01149,0.00236,3.95518,3.89361,3.58936,0.000253086,0.000253086,0.000253086
41,145.158,3.78568,5.3271,3.08605,0.82667,0.02857,0.01465,0.00333,3.81376,3.77018,3.48795,0.000231088,0.000231088,0.000231088
42,148.2,3.68446,4.69005,3.11366,0.84235,0.01558,0.01649,0.00411,3.65897,3.68319,3.40219,0.00020909,0.00020909,0.00020909
43,150.94,3.43188,4.28772,3.13618,0.87475,0.02078,0.01934,0.00469,3.56282,3.60827,3.3128,0.000187092,0.000187092,0.000187092
44,154.609,3.46196,5.96358,3.11614,0.8863,0.02338,0.02286,0.00568,3.48915,3.54902,3.2344,0.000165095,0.000165095,0.000165095
45,158.973,3.27001,3.98315,2.98086,0.8505,0.0237,0.02515,0.00667,3.41539,3.48789,3.16764,0.000143097,0.000143097,0.000143097
46,161.853,3.54604,4.36206,2.97702,0.85401,0.03896,0.02934,0.00721,3.34395,3.40801,3.09799,0.000121099,0.000121099,0.000121099
47,165.052,3.32797,4.09366,2.87791,0.83533,0.03377,0.0324,0.00763,3.29872,3.37058,3.05394,9.91012e-05,9.91012e-05,9.91012e-05
48,168.193,3.51087,4.73712,3.05919,0.85683,0.03117,0.0308,0.00779,3.26853,3.35631,3.02203,7.71034e-05,7.71034e-05,7.71034e-05
49,172.737,3.4833,4.36626,3.06993,0.85805,0.03117,0.02889,0.00743,3.24415,3.3443,3.00014,5.51056e-05,5.51056e-05,5.51056e-05
50,176.072,3.26246,4.24135,2.93556,0.85338,0.03377,0.02959,0.00752,3.22355,3.34047,2.98504,3.31078e-05,3.31078e-05,3.31078e-05
