epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.47078,5.68619,9.52824,4.27427,0,0,0,0,4.86403,5.82583,4.16037,3.333e-05,3.333e-05,3.333e-05
2,12.3418,5.37418,6.25707,4.37567,0,0,0,0,4.86347,5.82308,4.16076,7.62302e-05,7.62302e-05,7.62302e-05
3,16.3083,5.60996,7.96515,4.30317,0,0,0,0,4.86437,5.82169,4.16211,0.00011737,0.00011737,0.00011737
4,19.6786,3.4977,10.1917,3.26256,0,0,0,0,4.86314,5.82433,4.16295,0.000156751,0.000156751,0.000156751
5,24.1726,4.83732,6.76611,4.23762,0,0,0,0,4.86225,5.82839,4.16458,0.000194372,0.000194372,0.000194372
6,29.022,4.96301,5.80865,4.21897,0,0,0,0,4.86268,5.83324,4.16654,0.000230233,0.000230233,0.000230233
7,32.6257,3.48965,10.1457,3.15471,0,0,0,0,4.86623,5.80238,4.16816,0.000264334,0.000264334,0.000264334
8,36.4061,5.08231,6.49875,4.13837,0,0,0,0,4.86665,5.80037,4.16991,0.000296675,0.000296675,0.000296675
9,41.7838,5.24797,7.78193,4.13054,0,0,0,0,4.86772,5.81273,4.1734,0.000327256,0.000327256,0.000327256
10,46.1549,4.65239,5.86998,4.12545,0,0,0,0,4.87336,5.79596,4.1775,0.000356078,0.000356078,0.000356078
11,50.0436,4.80826,6.39968,4.15118,0,0,0,0,4.87656,5.78048,4.18215,0.000383139,0.000383139,0.000383139
12,53.7248,4.51797,5.75828,4.1395,0,0,0,0,4.88373,5.77373,4.18863,0.000408441,0.000408441,0.000408441
13,59.5928,4.48564,5.48978,4.00576,0,0,0,0,4.88729,5.79255,4.19566,0.000431983,0.000431983,0.000431983
14,63.1858,4.52606,5.46149,3.94135,0,0,0,0,4.89002,5.80276,4.2014,0.000453766,0.000453766,0.000453766
15,67.0918,4.46642,4.59015,3.89661,0,0,0,0,4.90927,5.70105,4.21417,0.000473788,0.000473788,0.000473788
16,71.5735,4.41704,4.51562,3.8503,0,0,0,0,4.92193,5.71891,4.22398,0.000492051,0.000492051,0.000492051
17,76.8207,3.88571,4.89188,3.80781,0,0,0,0,4.93546,5.7333,4.2372,0.000508554,0.000508554,0.000508554
18,80.5331,4.1392,4.9019,3.70982,0,0,0,0,4.97053,5.80051,4.26583,0.000523297,0.000523297,0.000523297
19,84.1297,4.24227,4.36077,3.75262,0,0,0,0,4.98257,5.83665,4.27726,0.00053628,0.00053628,0.00053628
20,89.6207,4.32157,4.15588,3.66572,0,0,0,0,4.9925,5.8957,4.28699,0.000547503,0.000547503,0.000547503
21,94.0235,3.7836,4.591,3.58356,0,0,0,0,5.01295,5.6586,4.30678,0.000556967,0.000556967,0.000556967
22,97.6881,4.18374,4.74531,3.574,0,0,0,0,5.02502,5.71741,4.31826,0.00056467,0.00056467,0.00056467
23,101.938,4.35046,8.77554,3.56017,0,0,0,0,5.0365,5.75008,4.32972,0.000570614,0.000570614,0.000570614
24,107.466,4.1865,10.9817,3.42151,0,0,0,0,5.05026,5.61384,4.34647,0.000574798,0.000574798,0.000574798
25,111.163,4.10003,4.12023,3.45966,0,0,0,0,5.06964,5.60602,4.36489,0.000577222,0.000577222,0.000577222
26,115.01,3.761,4.25297,3.47789,0,0,0,0,5.08544,5.60635,4.3812,0.000561055,0.000561055,0.000561055
27,119.535,3.93702,4.44607,3.57591,0,0,0,0,5.10115,5.62443,4.39799,0.000539057,0.000539057,0.000539057
28,124.813,3.80725,6.58645,3.34278,0,0,0,0,5.10205,5.62259,4.40571,0.000517059,0.000517059,0.000517059
29,128.605,3.66127,4.37437,3.39162,0,0,0,0,5.09074,5.40775,4.39629,0.000495062,0.000495062,0.000495062
30,132.302,3.64331,4.13991,3.40131,0,0,0,0,5.05724,5.29464,4.36917,0.000473064,0.000473064,0.000473064
31,137.754,4.00601,4.11293,3.32254,0,0,0,0,5.00477,5.19575,4.33153,0.000451066,0.000451066,0.000451066
32,142.166,3.70587,3.97894,3.21454,0,0,0,0,4.95636,5.15171,4.29248,0.000429068,0.000429068,0.000429068
33,145.809,3.71286,3.8691,3.23268,0,0,0,0,4.9127,5.05937,4.25413,0.00040707,0.00040707,0.00040707
34,149.782,3.63785,3.58525,3.18926,5e-05,0.0026,0.00033,0.0001,4.87673,4.95325,4.19028,0.000385073,0.000385073,0.000385073
35,155.363,3.6048,3.84841,3.25645,0.00016,0.00779,0.00035,7e-05,4.80866,4.7716,4.10953,0.000363075,0.000363075,0.000363075
36,158.887,2.83819,8.97596,2.3538,0.00057,0.02909,0.00171,0.00025,4.61198,4.52793,3.9586,0.000341077,0.000341077,0.000341077
37,162.612,3.56238,3.59353,3.10066,0.00097,0.05273,0.00274,0.00054,4.37043,4.30717,3.8318,0.000319079,0.000319079,0.000319079
38,167.242,3.4687,3.7444,3.0698,0.0012,0.06857,0.00398,0.00087,4.19087,4.15444,3.74345,0.000297081,0.000297081,0.000297081
39,172.579,3.78058,4.5708,3.17427,0.00128,0.07636,0.00623,0.00142,4.01098,3.98978,3.64772,0.000275084,0.000275084,0.000275084
40,176.45,3.47914,3.55503,3.05152,0.00129,0.08156,0.01147,0.00236,3.88193,3.8711,3.58044,0.000253086,0.000253086,0.000253086
41,187.23,3.78568,5.3271,3.08605,0.82667,0.02857,0.01464,0.00333,3.76008,3.76201,3.49056,0.000231088,0.000231088,0.000231088
42,191.785,3.68446,4.69005,3.11366,0.84235,0.01558,0.01644,0.00411,3.60395,3.67134,3.40861,0.00020909,0.00020909,0.00020909
43,195.165,3.43188,4.28772,3.13618,0.87475,0.02078,0.01932,0.00468,3.5058,3.59532,3.31699,0.000187092,0.000187092,0.000187092
44,198.984,3.46196,5.96358,3.11614,0.8863,0.02338,0.02286,0.00567,3.42226,3.5394,3.23467,0.000165095,0.000165095,0.000165095
45,204.589,3.27001,3.98315,2.98086,0.8505,0.0237,0.02516,0.00669,3.33621,3.48029,3.16346,0.000143097,0.000143097,0.000143097
46,208.077,3.54604,4.36206,2.97702,0.85401,0.03896,0.02934,0.00721,3.27217,3.39872,3.09044,0.000121099,0.000121099,0.000121099
47,211.769,3.32797,4.09366,2.87791,0.83533,0.03377,0.03239,0.00763,3.24473,3.36962,3.0492,9.91012e-05,9.91012e-05,9.91012e-05
48,216.742,3.51087,4.73712,3.05919,0.85683,0.03117,0.03081,0.00779,3.2281,3.35618,3.01784,7.71034e-05,7.71034e-05,7.71034e-05
49,221.901,3.4833,4.36626,3.06993,0.85805,0.03117,0.02889,0.00743,3.2082,3.35096,2.99607,5.51056e-05,5.51056e-05,5.51056e-05
50,225.628,3.26246,4.24135,2.93556,0.85338,0.03377,0.02961,0.00753,3.19108,3.34777,2.9809,3.31078e-05,3.31078e-05,3.31078e-05
